caseid,weight,treatment,q16,milstat_1,milstat_2,milstat_3,milstat_4,milstat_5,q21_1,q21_2,q21_3,q21_4,q21_5,q21_6,q21_7,q21_8,q21_9,q21_10,q1s,q6s,q3s,q4a,q4b,q5,q7,q135,q136,q137,q123,q124,q125,q129s,q130s,q131s,q132s,q141s,birthyr,gender,race,educ,marstat,employ,faminc_new,child18,pid3,pid7,presvote16post,presvote20post,inputstate,votereg,ideo5,newsint,religpew,pew_churatd,pew_bornagain,pew_religimp,pew_prayer,starttime,endtime,casualties,casualties_dummy,casualties_9,casualties_50,casualties_250,democracy,nuclear,ally,q135a,mc_1,mc_1_broad,mc_2,mc_3,mc_all,mc_all_broad,casualties_dummy_perceived,casualties_perceived,casualties_9_perceived,casualties_50_perceived,casualties_250_perceived,nuclear_perceived,ally_perceived,commitments,honorable,interests,prevent,age,female,republican,democrat,nationalism,nationalism_dummy,hawkishness,hawkishness_dummy,isolationism,isolationism_dummy,stronger_nonmilitary,stronger_military,stronger_military2,moderate_nonmilitary,moderate_military,weak_nonmilitary,weak_military,x_noforce,x_force,t_mean_noforce,t_upper_noforce,t_lower_noforce,t_mean_force,t_upper_force,t_lower_force,pvalue_force,pvalue_noforce,x_9,x_50,x_250,t_mean_9,t_upper_9,t_lower_9,t_mean_50,t_upper_50,t_lower_50,t_mean_250,t_upper_250,t_lower_250,pvalue_0_9,pvalue_9_50,pvalue_50_250,_est_m1,_est_m1a,_est_m3,_est_m3a,_est_m4,_est_m4a,_est_m2a,_est_m2
1464049817,.75110122703029,Group 13,77331,not selected,not selected,not selected,not selected,selected,not selected,selected,selected,not selected,not selected,not selected,not selected,selected,selected,selected,Somewhat agree,Neither agree nor disagree,Somewhat agree,Can trust other nations,Somewhat superior,Some,Strongly disagree,0,Yes,Yes,Yes,,Send ground troops to attack Country A's forces,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,1980,Male,White,4-year,Never married,Homemaker,"$10,000 - $19,999",No,Democrat,Strong Democrat,Did not vote for President,Joe Biden,Texas,Yes,Very liberal,Most of the time,Atheist,Never,No,Not at all important,Never,1937772799000,1937773052000,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,4.0999999,0,0,1,2,0,2.6666667,1,0,0,,0,1,,1,,0,1,1,,,,,,,,,.5,1,1.5,,,,,,,,,,,,,1,1,1,1,1,1,1,1
1464043463,.761233551439919,Group 28,67042,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Can't be too careful,Somewhat superior,Very many,Somewhat disagree,250,0,Yes,Yes,,Launch airstrikes against Country A's forces,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,1967,Female,White,4-year,Married,Permanently disabled,"$40,000 - $49,999",No,Independent,Lean Democrat,Hillary Clinton,Joe Biden,Kansas,Yes,Moderate,Most of the time,Protestant,Never,No,Somewhat important,Never,1937772732000,1937773107000,250,1,0,0,1,1,0,1,250,1,1,1,1,1,1,1,250,0,0,1,0,1,1,1,1,1,5.4000001,1,0,0,1.3333334,0,2,0,1,0,,0,0,,0,,1,1,1,,,,,,,,,.5,1,1.5,,,,,,,,,,,,,1,1,1,1,1,1,1,1
1464043231,.538910325639273,Group 12,78023,not selected,not selected,not selected,selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,selected,not selected,selected,Neither agree nor disagree,Somewhat agree,Somewhat agree,Can trust other nations,Somewhat superior,Some,Somewhat disagree,250,0,Yes,Yes,,Launch airstrikes against Country A's forces,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,1948,Male,White,Post-grad,Married,Retired,"$50,000 - $59,999",No,Independent,Lean Democrat,Jill Stein,Joe Biden,Texas,Yes,Moderate,Most of the time,Protestant,Once a week,No,Very important,A few times a week,1937772588000,1937773120000,250,1,0,0,1,0,0,1,250,1,1,1,1,1,1,1,250,0,0,1,0,1,1,1,0,1,7.3000002,0,0,0,2,0,2,0,1,0,,0,0,,0,,1,1,1,,,,,,,,,.5,1,1.5,,,,,,,,,,,,,1,1,1,1,1,1,1,1
1464043313,.903107266815969,Group 9,20003,not selected,not selected,not selected,not selected,selected,not selected,not selected,selected,selected,selected,selected,selected,not selected,selected,selected,Somewhat agree,Somewhat disagree,Somewhat agree,Can trust other nations,Very superior,A few,Somewhat disagree,0,0,Yes,Yes,,Launch airstrikes against Country A's forces,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,1982,Male,White,4-year,Never married,Full-time,"$100,000 - $119,999",No,Democrat,Not very strong Democrat,Hillary Clinton,Joe Biden,District of Columbia,Yes,Moderate,Most of the time,Eastern or Greek Orthodox,Seldom,No,Not too important,A few times a month,1937772633000,1937773138000,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,3.9000001,0,0,1,3.3333333,1,3,1,1,0,,0,0,,0,,1,1,1,,,,,,,,,.5,1,1.5,,,,,,,,,,,,,1,1,1,1,1,1,1,1
1464052771,.8229889247441,Group 24,93711,selected,not selected,selected,not selected,not selected,not selected,not selected,selected,selected,not selected,not selected,not selected,not selected,selected,selected,Strongly disagree,Strongly agree,Strongly disagree,Can't be too careful,A little superior,None,Strongly disagree,9,0,Yes,0,Lodge a diplomatic protest,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,1946,Male,White,2-year,Divorced,Retired,"$60,000 - $69,999",No,Democrat,Strong Democrat,Hillary Clinton,Joe Biden,California,Yes,Liberal,Some of the time,Nothing in particular,Never,No,Not at all important,Never,1937772826000,1937773143000,250,1,0,0,1,1,1,0,9,0,1,0,0,0,0,1,9,1,0,0,0,1,1,1,0,0,7.5,0,0,1,2.6666667,1,0,0,0,0,0,,,1,,0,,1,1,,,,,,,,,.5,1,1.5,,,,,,,,,,,,,1,0,1,0,1,0,0,1
1464043479,1.31156117528461,Group 10,41042,not selected,not selected,not selected,selected,not selected,not selected,not selected,selected,selected,not selected,not selected,selected,selected,selected,selected,Somewhat agree,Somewhat disagree,Strongly agree,Can't be too careful,Somewhat superior,Some,Somewhat disagree,9,0,Yes,Yes,,Launch airstrikes against Country A's forces,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,1971,Male,White,Post-grad,Divorced,Full-time,Prefer not to say,Yes,Independent,Independent,Did not vote for President,Donald Trump,Kentucky,Yes,Moderate,Some of the time,Protestant,Once a week,Yes,Very important,Several times a day,1937772744000,1937773144000,9,1,1,0,0,0,0,1,9,1,1,1,1,1,1,1,9,1,0,0,0,1,0,1,1,1,5,0,0,0,2,0,3.3333333,1,1,0,,0,0,,0,,1,1,1,,,,,,,,,.5,1,1.5,,,,,,,,,,,,,1,1,1,1,1,1,1,1
1463902029,.72231364583395,Group 16,52627,not selected,not selected,not selected,selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,Somewhat agree,Somewhat disagree,Somewhat agree,Can't be too careful,Somewhat superior,A few,Somewhat disagree,250,Yes,Yes,Yes,,Launch airstrikes against Country A's forces,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,1960,Female,White,High school graduate,Married,Homemaker,"$80,000 - $99,999",No,Democrat,Not very strong Democrat,Hillary Clinton,Joe Biden,Iowa,Yes,Moderate,Some of the time,Protestant,Seldom,No,Somewhat important,A few times a week,1937772590000,1937773159000,250,1,0,0,1,0,1,1,250,1,1,1,1,1,1,1,250,0,0,1,1,1,1,1,1,0,6.0999999,1,0,1,2.6666667,1,3,1,1,0,,0,0,,0,,1,1,1,,,,,,,,,.5,1,1.5,,,,,,,,,,,,,1,1,1,1,1,1,1,1
1464043457,1.05715324796958,Group 29,6416,not selected,not selected,selected,not selected,not selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,Strongly agree,Strongly disagree,Strongly disagree,Can't be too careful,Somewhat superior,None,Strongly disagree,0,Yes,Yes,Yes,,Launch airstrikes against Country A's forces,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,1965,Male,White,4-year,Widowed,Part-time,"$50,000 - $59,999",No,Independent,Lean Republican,Donald Trump,Donald Trump,Connecticut,Yes,Conservative,Most of the time,Roman Catholic,Once a week,No,Very important,Once a day,1937772729000,1937773170000,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,5.5999999,0,0,0,3.3333333,1,2.6666667,1,0,0,,0,0,,0,,1,1,1,,,,,,,,,.5,1,1.5,,,,,,,,,,,,,1,1,1,1,1,1,1,1
1463192101,.921201678933243,Group 4,78501,not selected,not selected,not selected,selected,not selected,not selected,not selected,selected,selected,not selected,not selected,not selected,not selected,selected,selected,Strongly agree,Somewhat agree,Somewhat agree,Can't be too careful,Very superior,None,Strongly disagree,250,0,0,Yes,,Launch airstrikes against Country A's forces,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,1961,Female,Other,Some college,Married,Temporarily laid off,"$60,000 - $69,999",No,Republican,Not very strong Republican,Did not vote for President,Donald Trump,Texas,Yes,Conservative,Some of the time,Nothing in particular,Seldom,No,Somewhat important,Once a day,1937772519000,1937773186000,250,1,0,0,1,0,0,0,250,1,1,1,1,1,1,1,250,0,0,1,0,0,1,1,0,1,6,1,1,0,4,1,2.6666667,1,0,0,,0,0,,0,,1,1,1,,,,,,,,,.5,1,1.5,,,,,,,,,,,,,1,1,1,1,1,1,1,1
1464058829,1.23192922201267,Group 15,14424,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Can't be too careful,Somewhat superior,None,Somewhat disagree,50,0,Yes,Yes,,Launch airstrikes against Country A's forces,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,1957,Female,White,2-year,Married,Retired,Prefer not to say,No,Republican,Strong Republican,Donald Trump,Donald Trump,New York,Yes,Very conservative,Most of the time,Roman Catholic,Once or twice a month,No,Very important,Once a day,1937772954000,1937773195000,50,1,0,1,0,0,1,1,50,1,1,0,1,0,0,1,50,0,1,0,0,1,0,0,0,0,6.4000001,1,1,0,3.3333333,1,2,0,1,0,,0,0,,0,,1,1,1,,,,,,,,,.5,1,1.5,,,,,,,,,,,,,1,0,1,0,1,0,0,1
1463680229,.865291353499594,Group 22,48414,not selected,not selected,not selected,not selected,selected,not selected,selected,selected,selected,not selected,not selected,not selected,selected,selected,selected,Somewhat agree,Somewhat disagree,Somewhat agree,Can't be too careful,Very superior,A few,Neither agree nor disagree,9,Yes,0,Yes,,Launch airstrikes against Country A's forces,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,1951,Female,White,High school graduate,Married,Retired,"$50,000 - $59,999",No,Independent,Lean Republican,Other,Donald Trump,Michigan,Yes,Moderate,Most of the time,Nothing in particular,Never,No,Not at all important,Seldom,1937772824000,1937773206000,9,1,1,0,0,1,1,0,9,1,1,1,1,1,1,1,9,1,0,0,1,0,1,1,1,1,7,1,0,0,3.3333333,1,3,1,2,0,,0,0,,0,,1,1,1,,,,,,,,,.5,1,1.5,,,,,,,,,,,,,1,1,1,1,1,1,1,1
1464042829,1.23192922201267,Group 8,56537,not selected,not selected,not selected,selected,not selected,not selected,selected,selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Can't be too careful,Very superior,A few,Somewhat disagree,250,Yes,0,Yes,,Launch airstrikes against Country A's forces,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,1959,Female,White,Some college,Divorced,Full-time,"$50,000 - $59,999",No,Republican,Strong Republican,Donald Trump,Donald Trump,Minnesota,Yes,Very conservative,Some of the time,Nothing in particular,Never,No,Not at all important,Several times a day,1937772325000,1937773217000,250,1,0,0,1,0,1,0,250,1,1,1,1,1,1,1,250,0,0,1,1,0,1,1,1,1,6.1999998,1,1,0,3.3333333,1,2.3333333,1,1,0,,0,0,,0,,1,1,1,,,,,,,,,.5,1,1.5,,,,,,,,,,,,,1,1,1,1,1,1,1,1
1463882133,.783902767082688,Group 11,43935,not selected,not selected,not selected,selected,not selected,not selected,selected,selected,selected,not selected,not selected,selected,selected,selected,selected,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Can trust other nations,Somewhat superior,A few,Somewhat disagree,50,0,Yes,Yes,,Send ground troops to attack Country A's forces,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,1966,Male,White,2-year,Married,Part-time,"$30,000 - $39,999",No,Not sure,Independent,Did not vote for President,Did not vote for President,Ohio,No,Not sure,Some of the time,Nothing in particular,Never,No,Not too important,A few times a month,1937772638000,1937773340000,50,1,0,1,0,0,0,1,50,1,1,1,1,1,1,1,50,0,1,0,0,1,0,0,1,0,5.5,0,0,0,2.6666667,1,1.3333334,0,1,0,,0,1,,1,,0,1,1,,,,,,,,,.5,1,1.5,,,,,,,,,,,,,1,1,1,1,1,1,1,1
1464058763,.882460691650925,Group 14,28753,not selected,not selected,not selected,not selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,selected,selected,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Can't be too careful,Not at all superior,None,Strongly disagree,9,Yes,Yes,Yes,,Send ground troops to attack Country A's forces,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,1953,Female,White,High school graduate,Divorced,Permanently disabled,"Less than $10,000",No,Not sure,Independent,Did not vote for President,Did not vote for President,North Carolina,No,Not sure,Hardly at all,Nothing in particular,Never,No,Somewhat important,Never,1937772912000,1937773363000,9,1,1,0,0,0,1,1,9,1,1,1,1,1,1,1,9,1,0,0,1,1,1,1,1,0,6.8000002,1,0,0,2,0,2,0,0,0,,0,1,,1,,0,1,1,,,,,,,,,.5,1,1.5,,,,,,,,,,,,,1,1,1,1,1,1,1,1
1464058803,.680788967795643,Group 20,2861,not selected,not selected,not selected,selected,not selected,not selected,not selected,selected,selected,not selected,not selected,not selected,selected,selected,selected,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Can trust other nations,Somewhat superior,Some,Strongly disagree,250,0,0,0,Impose economic sanctions on the attacker,,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,1958,Male,White,Some college,Domestic / civil partnership,Temporarily laid off,"$30,000 - $39,999",No,Democrat,Strong Democrat,Hillary Clinton,Joe Biden,Rhode Island,Yes,Liberal,Most of the time,Agnostic,Never,No,Not at all important,Never,1937772934000,1937773374000,250,1,0,0,1,1,0,0,250,1,1,1,1,1,1,1,250,0,0,1,0,0,0,0,0,0,6.3000002,0,0,1,2,0,2,0,0,0,1,,,0,,0,,1,1,,,,,,,,,.5,1,1.5,,,,,,,,,,,,,1,1,1,1,1,1,1,1
1463879773,.933542223736171,Group 4,28712,not selected,not selected,not selected,selected,not selected,not selected,selected,selected,not selected,not selected,not selected,not selected,selected,selected,selected,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Can trust other nations,Not at all superior,Very many,Neither agree nor disagree,250,0,0,Yes,,Launch airstrikes against Country A's forces,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,1954,Female,White,Post-grad,Married,Permanently disabled,"$60,000 - $69,999",No,Democrat,Strong Democrat,Hillary Clinton,Joe Biden,North Carolina,Yes,Very liberal,Most of the time,Atheist,Never,No,Not at all important,Never,1937772916000,1937773402000,250,1,0,0,1,0,0,0,250,1,1,1,1,1,1,1,250,0,0,1,0,0,1,1,1,1,6.6999998,1,0,1,0,0,1.6666666,0,2,0,,0,0,,0,,1,1,1,,,,,,,,,.5,1,1.5,,,,,,,,,,,,,1,1,1,1,1,1,1,1
1464043413,.933542223736171,Group 20,34203,not selected,selected,not selected,not selected,not selected,not selected,selected,selected,selected,not selected,not selected,selected,selected,selected,selected,Strongly disagree,Somewhat agree,Neither agree nor disagree,Can trust other nations,A little superior,Very many,Strongly disagree,250,0,0,Yes,,Launch airstrikes against Country A's forces,Somewhat agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,1952,Female,White,Post-grad,Married,Retired,"$100,000 - $119,999",No,Democrat,Strong Democrat,Hillary Clinton,Joe Biden,Florida,Yes,Liberal,Most of the time,Roman Catholic,Seldom,No,Not too important,A few times a week,1937772710000,1937773406000,250,1,0,0,1,1,0,0,250,1,1,1,1,1,1,1,250,0,0,1,0,0,1,1,0,1,6.9000001,1,0,1,.66666669,0,1,0,0,0,,0,0,,0,,1,1,1,,,,,,,,,.5,1,1.5,,,,,,,,,,,,,1,1,1,1,1,1,1,1
