attention_1,attention_2,attention_3,attention_4,attention_5,attention_6,attention_7,Q15_First Click,Q15_Last Click,Q15_Page Submit,Q15_Click Count,israel_sentiment_1,israel_sentiment_2,israel_sentiment_3,israel_sentiment_4,israel_sentiment_5,israel_sentiment_6,letter,antisemitism_1,antisemitism_2,antisemitism_3,antisemitism_4,antisemitism_5,report_eval,man_a,man_b,man_c,man_d,apartheid,antisemitism_opened,sex,sex_3_TEXT,state,race,race_6_TEXT,ethnicity,age_1,education,religion,religion_11_TEXT,partisanship,age,gender,hhi,ethnicity,hispanic,education,political_party,region,condition
Somewhat Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree strongly,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,2,1,1,1,2,10,2,
Neither agree nor disagree,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Somewhat Disagree,Disagree strongly,Disagree strongly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,2,10,1,1,2,1,2,
Neither agree nor disagree,Neither agree nor disagree,Agree strongly,Agree strongly,Somewhat Disagree,Disagree strongly,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,2,1,2,1,1,3,3,
Somewhat Agree,Disagree strongly,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,2,1,1,3,2,7,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,2,1,10,1,2,2,3,
Disagree strongly,Neither agree nor disagree,Neither agree nor disagree,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,1,5,1,1,6,10,2,
Somewhat Agree,Somewhat Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree strongly,Agree strongly,10.074,10.074,10.702,1,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No letter,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Very antisemitic,Yes,No,No,No,No comment ,No comment ,Female,,Florida,White,,Not Hispanic or Latino or Spanish origin,64,Bachelor's degree in college (4-year),Protestant,,Independent,64,2,8,1,1,6,4,3,4
Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,2,1,1,1,1,7,3,
Neither agree nor disagree,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,2,1,1,1,2,1,3,
Disagree strongly,Neither agree nor disagree,Neither agree nor disagree,Somewhat Agree,Somewhat Disagree,Disagree strongly,Somewhat Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,2,2,2,1,5,1,4,
Neither agree nor disagree,Somewhat Disagree,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Disagree strongly,Agree strongly,14.76,14.76,65.302,1,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,I'd like to write a letter in support of Israel,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Not very antisemitic,Yes,Yes,Yes,No,racial discrimination,anti jewish,Male,,Texas,White,,Not Hispanic or Latino or Spanish origin,57,Less than high school degree,Other,Pantheism,"Independent, but Lean Republican",57,1,4,1,1,2,5,3,6
Somewhat Agree,Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree strongly,Agree strongly,0.716,4.758,6.755,3,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,I'd like to write a letter in support of Israel,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat antisemitic,Yes,No,Yes,Yes,It’s cool but I think I want apartheid,I think it’s cool,Female,,Michigan,Black or African American,,Not Hispanic or Latino or Spanish origin,22,Some college but no degree,Other,,Democrat,18,2,6,3,1,2,1,2,7
Neither agree nor disagree,Somewhat Agree,Neither agree nor disagree,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,1.351,1.351,5.974,1,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,No letter,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Not at all antisemitic,Yes,No,No,No,No idea,Hate towards Jewish people ,Female,,Illinois,Black or African American,,Hispanic or Latino or Spanish origin,19,High school graduate (high school diploma or equivalent including GED),Atheist/agnostic,,Strong Democrat,19,2,5,2,16,2,1,2,5
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Agree,Neither agree nor disagree,Disagree strongly,Disagree strongly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,2,1,2,1,1,2,1,
Somewhat Agree,Somewhat Disagree,Neither agree nor disagree,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,0,0,14.481,0,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,No letter,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Not very antisemitic,No,No,No,No,I have no idea,Hate against Jews,Male,,New Jersey,White,,Not Hispanic or Latino or Spanish origin,60,Bachelor's degree in college (4-year),Protestant,,Republican,59,1,20,1,1,6,9,1,4
Agree strongly,Somewhat Agree,Neither agree nor disagree,Disagree strongly,Disagree strongly,Agree strongly,Agree strongly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,1,3,1,1,5,1,4,
Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Agree strongly,Neither agree nor disagree,Somewhat Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1,1,2,1,2,2,3,
Neither agree nor disagree,Somewhat Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree strongly,Somewhat Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,2,1,1,1,2,3,3,
Somewhat Disagree,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Somewhat Disagree,Disagree strongly,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,2,1,15,2,2,7,4,
Agree strongly,Somewhat Disagree,Neither agree nor disagree,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,0,0,7.614,0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No letter,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Not very antisemitic,No,No,No,No,Idk what it is,Idk,Male,,Illinois,Asian or Asian American,,Not Hispanic or Latino or Spanish origin,30,Master's degree,Nothing in particular,,Independent,30,1,11,5,1,7,5,2,2
Neither agree nor disagree,Somewhat Agree,Neither agree nor disagree,Somewhat Disagree,Neither agree nor disagree,Disagree strongly,Agree strongly,0,0,30.235,0,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,No letter,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Not at all antisemitic,Yes,No,No,No,I don’t know ,None,Female,,Texas,White,,Not Hispanic or Latino or Spanish origin,58,Some college but no degree,Nothing in particular,,"Independent, but Lean Democrat",57,2,2,1,1,4,3,3,2
Agree strongly,Somewhat Disagree,Neither agree nor disagree,Somewhat Disagree,Agree strongly,Disagree strongly,Agree strongly,1.926,6.157,6.182,3,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,I'd like to write a letter in opposition of Israel,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat antisemitic,Yes,No,Yes,No,Honestly I don’t know so I’m going to say no preference nothing to say about the subject.,No preference,Female,,Florida,Black or African American,,Hispanic or Latino or Spanish origin,25,Associate degree in college (2-year),Nothing in particular,,Democrat,25,2,9,2,14,5,1,3,3
Neither agree nor disagree,Agree strongly,Agree strongly,Somewhat Disagree,Agree strongly,Disagree strongly,Somewhat Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,2,1,1,1,2,10,2,
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Disagree,Somewhat Agree,Disagree strongly,Agree strongly,0,0,7.401,0,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,No letter,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,No,No,No,No,I don't know what that means ,Racism towards people of Jewish decent ,Female,,Oklahoma,Black or African American,,Not Hispanic or Latino or Spanish origin,30,Some college but no degree,Nothing in particular,,Independent,30,2,2,2,1,4,4,3,1
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree strongly,Disagree strongly,Agree strongly,0.863,5.591,6.426,3,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,No letter,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat antisemitic,Yes,Yes,Yes,Yes,It is certain kind of religion,Autism is when a child or adult cannot remember things or acts out,Male,,Georgia,White,,Not Hispanic or Latino or Spanish origin,47,High school graduate (high school diploma or equivalent including GED),Nothing in particular,,Strong Republican,67,1,3,1,1,2,10,3,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,2,3,1,1,2,10,3,
Disagree strongly,Somewhat Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree strongly,Disagree strongly,Disagree strongly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,2,1,1,1,4,3,1,
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree strongly,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,2,1,2,1,2,1,1,
Somewhat Agree,Agree strongly,Neither agree nor disagree,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,0.74,0.74,6.8,1,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,I'd like to write a letter in support of Israel,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Very antisemitic,Yes,Yes,Yes,Yes,Goof,Good,Male,,Florida,Black or African American,,Not Hispanic or Latino or Spanish origin,20,Associate degree in college (2-year),Atheist/agnostic,,"Independent, but Lean Republican",27,1,9,1,1,4,1,3,5
Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Somewhat Disagree,Somewhat Disagree,Disagree strongly,Agree strongly,18.201,30.948,34.538,3,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,No letter,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat antisemitic,Yes,Yes,Yes,Yes,I think it means segregation on grounds of race,I think it is being prejudice against Isralian people,Female,,North Carolina,Asian or Asian American,,Not Hispanic or Latino or Spanish origin,67,Some college but no degree,Buddhist,,Democrat,67,2,9,7,1,4,2,3,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,2,1,2,1,2,1,1,
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,2,4,2,1,1,7,4,
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,2,4,1,1,2,10,2,
Agree strongly,Somewhat Agree,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Disagree strongly,Agree strongly,1.29,14.988,17.277,4,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,No letter,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat antisemitic,No,Yes,No,No,I don't know what that is,I don't know what that is,Male,,Mississippi,Black or African American,,Not Hispanic or Latino or Spanish origin,29,Some college but no degree,Nothing in particular,,Republican,29,1,9,2,1,4,10,3,6
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree strongly,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,2,1,12,1,2,7,3,
Disagree strongly,Somewhat Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree strongly,Disagree strongly,Agree strongly,2.574,7.408,18.16,3,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,No letter,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Not very antisemitic,Yes,No,No,No,The south African assault on African peopls,The forced decision to be against anything jewish,Female,,Florida,White,,Not Hispanic or Latino or Spanish origin,59,Some college but no degree,Roman Catholic,,"Independent, but Lean Republican",59,2,1,1,1,4,5,3,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,2,1,2,1,4,6,1,
Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Agree strongly,Disagree strongly,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,2,1,2,1,5,1,3,
Somewhat Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree strongly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,2,8,1,1,2,10,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,2,6,11,2,1,4,4,
Agree strongly,Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Agree strongly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,1,1,2,1,6,1,3,
Agree strongly,Somewhat Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,2,1,1,1,2,7,3,
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Disagree,Neither agree nor disagree,Disagree strongly,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,2,1,15,2,2,7,4,
Somewhat Agree,Somewhat Disagree,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Disagree strongly,Agree strongly,4.604,14.268,15.445,2,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,No letter,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat antisemitic,Yes,Yes,Yes,Yes,None,None,Female,,West Virginia,White,,Not Hispanic or Latino or Spanish origin,40,High school graduate (high school diploma or equivalent including GED),Roman Catholic,,"Independent, but Lean Democrat",40,2,2,1,1,2,3,3,6
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree strongly,Agree strongly,1.453,4.563,5.962,2,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,I'd like to write a letter in opposition of Israel,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat antisemitic,Yes,Yes,Yes,Yes,I don't know ,I don't know ,Female,,Missouri,White,,Not Hispanic or Latino or Spanish origin,35,High school graduate (high school diploma or equivalent including GED),Nothing in particular,,Independent,35,2,3,1,1,2,7,2,4
Disagree strongly,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Neither agree nor disagree,Disagree strongly,Agree strongly,0.756,6.128,6.884,5,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,No letter,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Very antisemitic,No,Yes,Yes,Yes,a policy or system of segregation or discrimination on grounds of race.,hostility to or prejudice against Jewish people.,Female,,Massachusetts,White,,Not Hispanic or Latino or Spanish origin,18,Less than high school degree,Roman Catholic,,Democrat,18,2,19,1,1,1,3,1,6
Agree strongly,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Agree strongly,Disagree strongly,Agree strongly,0,0,9.907,0,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No letter,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat antisemitic,Yes,Yes,Yes,Yes,each person has to identify,matter of self,Female,,Arizona,White,,Not Hispanic or Latino or Spanish origin,83,High school graduate (high school diploma or equivalent including GED),Roman Catholic,,Republican,83,2,2,1,1,2,10,4,6
Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Disagree strongly,Agree strongly,0,0,11.142,0,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,No letter,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,,No,Yes,Yes,No,it's a system of discrimination based on race, to be prejudice against Jewish people,Female,,Ohio,White,,Not Hispanic or Latino or Spanish origin,69,Associate degree in college (2-year),Protestant,,Strong Democrat,69,2,2,1,1,4,1,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,2,2,10,1,2,1,3,
Somewhat Agree,Somewhat Disagree,Neither agree nor disagree,Somewhat Agree,Disagree strongly,Disagree strongly,Somewhat Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,1,11,2,1,2,4,4,
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Disagree strongly,Somewhat Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,2,22,1,1,4,1,1,
Neither agree nor disagree,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Somewhat Disagree,Disagree strongly,Agree strongly,2.057,11.286,12.372,5,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,No letter,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Not at all antisemitic,No,Yes,Yes,Yes,Nothing interesting I am not interested in it,I am just not interested in that,Male,,Florida,White,,Not Hispanic or Latino or Spanish origin,47,Some college but no degree,Nothing in particular,,Independent,47,1,3,1,1,6,4,3,3
Agree strongly,Disagree strongly,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Disagree strongly,Agree strongly,3.389,3.389,8.334,1,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,No letter,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Not very antisemitic,Yes,Yes,Yes,Yes,Very interesting ,Different ,Female,,Pennsylvania,White,,Not Hispanic or Latino or Spanish origin,64,High school graduate (high school diploma or equivalent including GED),Protestant,,Strong Democrat,64,2,8,1,1,3,1,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,2,10,1,12,6,7,1,
Somewhat Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Agree,Neither agree nor disagree,Disagree strongly,Agree strongly,0,0,18.165,0,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,No letter,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Not very antisemitic,Yes,No,No,No,discrimination against a certain class of people based on race,it is biasness against the Jewish race,Female,,Florida,White,,Not Hispanic or Latino or Spanish origin,70,Some college but no degree,Roman Catholic,,Democrat,70,2,5,1,1,4,2,3,2
Agree strongly,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Somewhat Disagree,Disagree strongly,Agree strongly,1.734,6.168,8.228,4,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,No letter,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat antisemitic,Yes,Yes,Yes,Yes,Not sure,Not sure,Female,,Florida,White,,Not Hispanic or Latino or Spanish origin,36,High school graduate (high school diploma or equivalent including GED),Roman Catholic,,Republican,35,2,1,1,1,2,10,3,7
