dataset_doi,llm_fig1
doi:10.7910/DVN/23818,TRUE
doi:10.7910/DVN/23851,FALSE
doi:10.7910/DVN/23958,FALSE
doi:10.7910/DVN/23972,FALSE
doi:10.7910/DVN/24128,FALSE
doi:10.7910/DVN/24220,TRUE
doi:10.7910/DVN/24387,TRUE
doi:10.7910/DVN/24506,FALSE
doi:10.7910/DVN/24591,TRUE
doi:10.7910/DVN/24714,FALSE
doi:10.7910/DVN/24789,FALSE
doi:10.7910/DVN/24800,TRUE
doi:10.7910/DVN/24827,FALSE
doi:10.7910/DVN/24859,TRUE
doi:10.7910/DVN/24937,FALSE
doi:10.7910/DVN/24975,TRUE
doi:10.7910/DVN/25302,FALSE
doi:10.7910/DVN/25423,TRUE
doi:10.7910/DVN/25505,TRUE
doi:10.7910/DVN/25531,TRUE
doi:10.7910/DVN/25540,FALSE
doi:10.7910/DVN/25615,TRUE
doi:10.7910/DVN/25707,FALSE
doi:10.7910/DVN/26457,FALSE
doi:10.7910/DVN/26461,TRUE
doi:10.7910/DVN/26522,TRUE
doi:10.7910/DVN/26544,TRUE
doi:10.7910/DVN/26570,TRUE
doi:10.7910/DVN/26584,TRUE
doi:10.7910/DVN/26586,TRUE
doi:10.7910/DVN/26612,FALSE
doi:10.7910/DVN/26642,FALSE
doi:10.7910/DVN/26714,TRUE
doi:10.7910/DVN/26721,TRUE
doi:10.7910/DVN/26936,TRUE
doi:10.7910/DVN/26937,FALSE
doi:10.7910/DVN/26P4MC,TRUE
doi:10.7910/DVN/27113,FALSE
doi:10.7910/DVN/27176,FALSE
doi:10.7910/DVN/27192,TRUE
doi:10.7910/DVN/27217,TRUE
doi:10.7910/DVN/27293,FALSE
doi:10.7910/DVN/27371,FALSE
doi:10.7910/DVN/27512,TRUE
doi:10.7910/DVN/27597,FALSE
doi:10.7910/DVN/27624,TRUE
doi:10.7910/DVN/27631,TRUE
doi:10.7910/DVN/27662,TRUE
doi:10.7910/DVN/27672,FALSE
doi:10.7910/DVN/28158,TRUE
doi:10.7910/DVN/28582,FALSE
doi:10.7910/DVN/28640,FALSE
doi:10.7910/DVN/28750,FALSE
doi:10.7910/DVN/28856,FALSE
doi:10.7910/DVN/28870,TRUE
doi:10.7910/DVN/28929,FALSE
doi:10.7910/DVN/28930,FALSE
doi:10.7910/DVN/29026,TRUE
doi:10.7910/DVN/29040,TRUE
doi:10.7910/DVN/29076,FALSE
doi:10.7910/DVN/29080,TRUE
doi:10.7910/DVN/29095,TRUE
doi:10.7910/DVN/29098,FALSE
doi:10.7910/DVN/29101,FALSE
doi:10.7910/DVN/29108,TRUE
doi:10.7910/DVN/29117,TRUE
doi:10.7910/DVN/29129,FALSE
doi:10.7910/DVN/29179,FALSE
doi:10.7910/DVN/29205,TRUE
doi:10.7910/DVN/29242,TRUE
doi:10.7910/DVN/29286,TRUE
doi:10.7910/DVN/29314,TRUE
doi:10.7910/DVN/29375,TRUE
doi:10.7910/DVN/29379,TRUE
doi:10.7910/DVN/29405,FALSE
doi:10.7910/DVN/29427,TRUE
doi:10.7910/DVN/29487,TRUE
doi:10.7910/DVN/29566,TRUE
doi:10.7910/DVN/29591,FALSE
doi:10.7910/DVN/29743,FALSE
doi:10.7910/DVN/29911,FALSE
doi:10.7910/DVN/2CITBJ,FALSE
doi:10.7910/DVN/2CLJPA,TRUE
doi:10.7910/DVN/2CS1VF,TRUE
doi:10.7910/DVN/2CVG5E,TRUE
doi:10.7910/DVN/2DCQZV,TRUE
doi:10.7910/DVN/2E2M9Z,TRUE
doi:10.7910/DVN/2E4MOZ,TRUE
doi:10.7910/DVN/2IFZR9,FALSE
doi:10.7910/DVN/2IVKXD,FALSE
doi:10.7910/DVN/2JKWNS,TRUE
doi:10.7910/DVN/2JVEEE,FALSE
doi:10.7910/DVN/2KAQO1,FALSE
doi:10.7910/DVN/2LH0BZ,TRUE
doi:10.7910/DVN/2O7CN0,TRUE
doi:10.7910/DVN/2OFTAW,TRUE
doi:10.7910/DVN/2THQJN,FALSE
doi:10.7910/DVN/2UFPMP,TRUE
doi:10.7910/DVN/2UUQ25,TRUE
doi:10.7910/DVN/2VF2J0,TRUE
doi:10.7910/DVN/2VHCON,TRUE
doi:10.7910/DVN/2WRQWZ,TRUE
doi:10.7910/DVN/2XO7HR,TRUE
doi:10.7910/DVN/2XP8YF,FALSE
doi:10.7910/DVN/2YA2VU,TRUE
doi:10.7910/DVN/2YQX37,FALSE
doi:10.7910/DVN/33K3EF,TRUE
doi:10.7910/DVN/361LGD,TRUE
doi:10.7910/DVN/383K6K,FALSE
doi:10.7910/DVN/38BFML,TRUE
doi:10.7910/DVN/3ADWK8,TRUE
doi:10.7910/DVN/3AOBP2,TRUE
doi:10.7910/DVN/3DK6JA,TRUE
doi:10.7910/DVN/3DRQOB,TRUE
doi:10.7910/DVN/3DVZYY,TRUE
doi:10.7910/DVN/3E7JXB,FALSE
doi:10.7910/DVN/3EKRSI,FALSE
doi:10.7910/DVN/3EONKV,FALSE
doi:10.7910/DVN/3FGLKN,TRUE
doi:10.7910/DVN/3FNP7Q,TRUE
doi:10.7910/DVN/3GZMQW,FALSE
doi:10.7910/DVN/3KOQWQ,TRUE
doi:10.7910/DVN/3M9OD8,FALSE
doi:10.7910/DVN/3QNR8Q,FALSE
doi:10.7910/DVN/3RA7YG,FALSE
doi:10.7910/DVN/3RNFFH,FALSE
doi:10.7910/DVN/3RR5RJ,FALSE
doi:10.7910/DVN/3RWCPB,TRUE
doi:10.7910/DVN/3TTQL2,TRUE
doi:10.7910/DVN/3TZAEB,FALSE
doi:10.7910/DVN/3VFVS7,FALSE
doi:10.7910/DVN/4DUB7X,TRUE
doi:10.7910/DVN/4EZPKF,TRUE
doi:10.7910/DVN/4FCVUR,TRUE
doi:10.7910/DVN/4G2DBT,TRUE
doi:10.7910/DVN/4KFU8S,FALSE
doi:10.7910/DVN/4LWC1R,FALSE
doi:10.7910/DVN/4LZXTY,FALSE
doi:10.7910/DVN/4M0HEN,TRUE
doi:10.7910/DVN/4MOTFS,FALSE
doi:10.7910/DVN/4MZQYH,FALSE
doi:10.7910/DVN/4NEPI7,TRUE
doi:10.7910/DVN/4P2JA3,FALSE
doi:10.7910/DVN/4QQHW7,TRUE
doi:10.7910/DVN/4QRUPR,TRUE
doi:10.7910/DVN/4RQWXW,FALSE
doi:10.7910/DVN/4T7Q6U,TRUE
doi:10.7910/DVN/4UOQUR,TRUE
doi:10.7910/DVN/4VCBQB,TRUE
doi:10.7910/DVN/4VHZWW,TRUE
doi:10.7910/DVN/4WNEE9,TRUE
doi:10.7910/DVN/4XI0UG,TRUE
doi:10.7910/DVN/4ZTDMU,FALSE
doi:10.7910/DVN/56EZPS,FALSE
doi:10.7910/DVN/57QESD,TRUE
doi:10.7910/DVN/5AN3RU,TRUE
doi:10.7910/DVN/5CNOTD,TRUE
doi:10.7910/DVN/5CVUVU,FALSE
doi:10.7910/DVN/5CYWWF,TRUE
doi:10.7910/DVN/5DHMYI,FALSE
doi:10.7910/DVN/5E3D0F,TRUE
doi:10.7910/DVN/5GP5SI,TRUE
doi:10.7910/DVN/5H1HFF,TRUE
doi:10.7910/DVN/5HEB4I,TRUE
doi:10.7910/DVN/5HXT8K,FALSE
doi:10.7910/DVN/5JLGEL,TRUE
doi:10.7910/DVN/5K89TG,TRUE
doi:10.7910/DVN/5KC1FM,TRUE
doi:10.7910/DVN/5M10KG,FALSE
doi:10.7910/DVN/5MAQC2,FALSE
doi:10.7910/DVN/5O3EOW,FALSE
doi:10.7910/DVN/5OUHOW,TRUE
doi:10.7910/DVN/5PEQSS,TRUE
doi:10.7910/DVN/5QBS9A,TRUE
doi:10.7910/DVN/5S1HRF,TRUE
doi:10.7910/DVN/5TWA0G,FALSE
doi:10.7910/DVN/5UEEU2,FALSE
doi:10.7910/DVN/5UMCKK,TRUE
doi:10.7910/DVN/5XG84N,TRUE
doi:10.7910/DVN/61JJI3,FALSE
doi:10.7910/DVN/61JSZQ,TRUE
doi:10.7910/DVN/64HPWB,TRUE
doi:10.7910/DVN/66XBA5,FALSE
doi:10.7910/DVN/6A2J2T,FALSE
doi:10.7910/DVN/6AAGM9,FALSE
doi:10.7910/DVN/6EBCGA,FALSE
doi:10.7910/DVN/6FHV5B,FALSE
doi:10.7910/DVN/6IO5ET,TRUE
doi:10.7910/DVN/6IOACK,FALSE
doi:10.7910/DVN/6IRAEM,TRUE
doi:10.7910/DVN/6KPFOK,TRUE
doi:10.7910/DVN/6N2PN4,FALSE
doi:10.7910/DVN/6NDYHC,FALSE
doi:10.7910/DVN/6OKNOY,TRUE
doi:10.7910/DVN/6RL6ID,TRUE
doi:10.7910/DVN/6SRI9K,TRUE
doi:10.7910/DVN/6TFUSP,TRUE
doi:10.7910/DVN/6VJ2WK,TRUE
doi:10.7910/DVN/6WBQ7U,FALSE
doi:10.7910/DVN/6XGUWQ,FALSE
doi:10.7910/DVN/6YNZTE,TRUE
doi:10.7910/DVN/70UDEG,TRUE
doi:10.7910/DVN/7190MT,TRUE
doi:10.7910/DVN/74QEO9,TRUE
doi:10.7910/DVN/78JPNJ,TRUE
doi:10.7910/DVN/79RI4R,TRUE
doi:10.7910/DVN/7C5RYJ,TRUE
doi:10.7910/DVN/7D48YB,TRUE
doi:10.7910/DVN/7EWDRF,FALSE
doi:10.7910/DVN/7GPSCA,TRUE
doi:10.7910/DVN/7JFVQI,TRUE
doi:10.7910/DVN/7KSNCE,TRUE
doi:10.7910/DVN/7M6NIP,FALSE
doi:10.7910/DVN/7NP2XH,TRUE
doi:10.7910/DVN/7PZHF6,TRUE
doi:10.7910/DVN/7Q9ZSR,TRUE
doi:10.7910/DVN/7SYM1H,TRUE
doi:10.7910/DVN/7TEE2R,FALSE
doi:10.7910/DVN/7UBRAC,TRUE
doi:10.7910/DVN/7UOT14,TRUE
doi:10.7910/DVN/7WUTWA,TRUE
doi:10.7910/DVN/7YEK7H,FALSE
doi:10.7910/DVN/7ZVSYO,TRUE
doi:10.7910/DVN/85RL5E,TRUE
doi:10.7910/DVN/87TSER,TRUE
doi:10.7910/DVN/88FIAR,TRUE
doi:10.7910/DVN/88XL3K,TRUE
doi:10.7910/DVN/8B31FG,TRUE
doi:10.7910/DVN/8GABL3,TRUE
doi:10.7910/DVN/8GEYKS,FALSE
doi:10.7910/DVN/8GNMUY,TRUE
doi:10.7910/DVN/8HFVU8,TRUE
doi:10.7910/DVN/8I6NOT,TRUE
doi:10.7910/DVN/8JFNSN,TRUE
doi:10.7910/DVN/8JHA2X,TRUE
doi:10.7910/DVN/8JW4Q7,TRUE
doi:10.7910/DVN/8KNF3I,TRUE
doi:10.7910/DVN/8L1SHV,TRUE
doi:10.7910/DVN/8LDZFF,FALSE
doi:10.7910/DVN/8LKROK,FALSE
doi:10.7910/DVN/8LQZW9,FALSE
doi:10.7910/DVN/8LXNQK,FALSE
doi:10.7910/DVN/8MV984,TRUE
doi:10.7910/DVN/8OKVHY,TRUE
doi:10.7910/DVN/8PIIAI,TRUE
doi:10.7910/DVN/8PVW9D,FALSE
doi:10.7910/DVN/8R3LTP,FALSE
doi:10.7910/DVN/8SIOKU,TRUE
doi:10.7910/DVN/8SR1GY,FALSE
doi:10.7910/DVN/8VBGXO,TRUE
doi:10.7910/DVN/8WGX9H,FALSE
doi:10.7910/DVN/8WZ793,TRUE
doi:10.7910/DVN/8X77JA,TRUE
doi:10.7910/DVN/8XPBSA,TRUE
doi:10.7910/DVN/8XT86F,FALSE
doi:10.7910/DVN/8YPPLM,TRUE
doi:10.7910/DVN/8ZJBLI,TRUE
doi:10.7910/DVN/8ZT2ID,TRUE
doi:10.7910/DVN/8ZTQNM,TRUE
doi:10.7910/DVN/92SKA2,FALSE
doi:10.7910/DVN/93GVWI,TRUE
doi:10.7910/DVN/96H4DV,TRUE
doi:10.7910/DVN/96KNLB,TRUE
doi:10.7910/DVN/96WYRS,TRUE
doi:10.7910/DVN/97KSIK,FALSE
doi:10.7910/DVN/98WHCF,FALSE
doi:10.7910/DVN/99NXTT,FALSE
doi:10.7910/DVN/9AMKHL,TRUE
doi:10.7910/DVN/9AWUYJ,TRUE
doi:10.7910/DVN/9B8HQN,FALSE
doi:10.7910/DVN/9CEQKX,FALSE
doi:10.7910/DVN/9D1L1V,FALSE
doi:10.7910/DVN/9ERCTY,TRUE
doi:10.7910/DVN/9F0SMU,TRUE
doi:10.7910/DVN/9FUPQQ,TRUE
doi:10.7910/DVN/9GSJ6V,TRUE
doi:10.7910/DVN/9H3DFP,FALSE
doi:10.7910/DVN/9IKGYY,FALSE
doi:10.7910/DVN/9JS5AJ,TRUE
doi:10.7910/DVN/9JWDKK,TRUE
doi:10.7910/DVN/9LWQKQ,FALSE
doi:10.7910/DVN/9MQDK7,TRUE
doi:10.7910/DVN/9NYAP7,FALSE
doi:10.7910/DVN/9OK6RH,TRUE
doi:10.7910/DVN/9OOLQ7,TRUE
doi:10.7910/DVN/9PWJ3Y,FALSE
doi:10.7910/DVN/9PXU5U,TRUE
doi:10.7910/DVN/9QJVJ1,FALSE
doi:10.7910/DVN/9QSQIW,TRUE
doi:10.7910/DVN/9QUMY3,TRUE
doi:10.7910/DVN/9RTI0V,FALSE
doi:10.7910/DVN/9SF3TI,FALSE
doi:10.7910/DVN/9TCK0G,FALSE
doi:10.7910/DVN/9TPNOT,TRUE
doi:10.7910/DVN/9U6QXP,TRUE
doi:10.7910/DVN/9UXYCQ,TRUE
doi:10.7910/DVN/9WNYEU,TRUE
doi:10.7910/DVN/9XPV4I,FALSE
doi:10.7910/DVN/9ZYFBX,FALSE
doi:10.7910/DVN/9ZZOTW,TRUE
doi:10.7910/DVN/A11CD5,TRUE
doi:10.7910/DVN/A2EIZC,TRUE
doi:10.7910/DVN/A2XDZP,FALSE
doi:10.7910/DVN/A3M7PY,TRUE
doi:10.7910/DVN/A81LPK,TRUE
doi:10.7910/DVN/AARL5V,FALSE
doi:10.7910/DVN/ABX2WA,TRUE
doi:10.7910/DVN/ACRFJM,TRUE
doi:10.7910/DVN/ACYZIC,TRUE
doi:10.7910/DVN/ADE2SJ,TRUE
doi:10.7910/DVN/AEDRXN,TRUE
doi:10.7910/DVN/AFYKUH,TRUE
doi:10.7910/DVN/AGIMGY,TRUE
doi:10.7910/DVN/AH2PEI,TRUE
doi:10.7910/DVN/AHMMUA,FALSE
doi:10.7910/DVN/AHQRVR,TRUE
doi:10.7910/DVN/AI3VM8,TRUE
doi:10.7910/DVN/AIKUDN,TRUE
doi:10.7910/DVN/AIRCBB,TRUE
doi:10.7910/DVN/AJHFHU,TRUE
doi:10.7910/DVN/AJLO8J,TRUE
doi:10.7910/DVN/AJWTLI,TRUE
doi:10.7910/DVN/AK10AT,FALSE
doi:10.7910/DVN/AKGWBL,TRUE
doi:10.7910/DVN/AKI6RS,FALSE
doi:10.7910/DVN/AKMM0S,FALSE
doi:10.7910/DVN/AL1A4Q,FALSE
doi:10.7910/DVN/AL8I2B,TRUE
doi:10.7910/DVN/ALZVAW,TRUE
doi:10.7910/DVN/AM3LJF,TRUE
doi:10.7910/DVN/AMJXCB,TRUE
doi:10.7910/DVN/AMMFVZ,TRUE
doi:10.7910/DVN/AMMI3S,TRUE
doi:10.7910/DVN/AMWWZE,TRUE
doi:10.7910/DVN/AO7IYJ,TRUE
doi:10.7910/DVN/AOEUNN,FALSE
doi:10.7910/DVN/AOL6XC,FALSE
doi:10.7910/DVN/AOTVAU,FALSE
doi:10.7910/DVN/AP0DHP,TRUE
doi:10.7910/DVN/AQ2P12,TRUE
doi:10.7910/DVN/AQFTHK,FALSE
doi:10.7910/DVN/AQQ3GG,FALSE
doi:10.7910/DVN/ARIQT2,FALSE
doi:10.7910/DVN/ARMDLY,FALSE
doi:10.7910/DVN/ASDLQX,TRUE
doi:10.7910/DVN/ASLTVG,FALSE
doi:10.7910/DVN/ASUFTY,FALSE
doi:10.7910/DVN/AU1MVC,TRUE
doi:10.7910/DVN/AV3OQM,FALSE
doi:10.7910/DVN/AV8PLT,FALSE
doi:10.7910/DVN/AW6L1P,FALSE
doi:10.7910/DVN/AWSQTW,TRUE
doi:10.7910/DVN/AXVEXM,TRUE
doi:10.7910/DVN/AY32JZ,FALSE
doi:10.7910/DVN/AYBXMJ,TRUE
doi:10.7910/DVN/AYFAFF,TRUE
doi:10.7910/DVN/AYSHR4,TRUE
doi:10.7910/DVN/AZFHYN,TRUE
doi:10.7910/DVN/AZTWDW,TRUE
doi:10.7910/DVN/AZUWVA,FALSE
doi:10.7910/DVN/B1HHGV,TRUE
doi:10.7910/DVN/B3P41O,FALSE
doi:10.7910/DVN/B3UBXR,TRUE
doi:10.7910/DVN/B6ZNAI,TRUE
doi:10.7910/DVN/B8TWK2,TRUE
doi:10.7910/DVN/B8Y17J,TRUE
doi:10.7910/DVN/B9JAV0,TRUE
doi:10.7910/DVN/B9SCDJ,TRUE
doi:10.7910/DVN/B9U5BH,TRUE
doi:10.7910/DVN/BAFF8Q,TRUE
doi:10.7910/DVN/BANJL7,FALSE
doi:10.7910/DVN/BC2HEO,TRUE
doi:10.7910/DVN/BDYVK7,FALSE
doi:10.7910/DVN/BEW2ME,FALSE
doi:10.7910/DVN/BFEBHQ,TRUE
doi:10.7910/DVN/BFLPBK,FALSE
doi:10.7910/DVN/BFRJDU,TRUE
doi:10.7910/DVN/BGLGBZ,TRUE
doi:10.7910/DVN/BGSCO4,TRUE
doi:10.7910/DVN/BHKSZR,FALSE
doi:10.7910/DVN/BHVEBZ,FALSE
doi:10.7910/DVN/BIQZNT,FALSE
doi:10.7910/DVN/BLGFDU,FALSE
doi:10.7910/DVN/BLIVUP,FALSE
doi:10.7910/DVN/BLVJJH,FALSE
doi:10.7910/DVN/BLXMCY,TRUE
doi:10.7910/DVN/BN1GVD,FALSE
doi:10.7910/DVN/BNUCX4,FALSE
doi:10.7910/DVN/BOGTNU,FALSE
doi:10.7910/DVN/BOKBQQ,TRUE
doi:10.7910/DVN/BOWEJG,TRUE
doi:10.7910/DVN/BPON3K,TRUE
doi:10.7910/DVN/BQ9M2U,TRUE
doi:10.7910/DVN/BQGWYI,TRUE
doi:10.7910/DVN/BRRZSK,FALSE
doi:10.7910/DVN/BS3DF7,TRUE
doi:10.7910/DVN/BTE2BK,TRUE
doi:10.7910/DVN/BTJYHC,TRUE
doi:10.7910/DVN/BTPZFF,FALSE
doi:10.7910/DVN/BWYJKB,FALSE
doi:10.7910/DVN/BWZ3N0,TRUE
doi:10.7910/DVN/BXIRYE,TRUE
doi:10.7910/DVN/BXPKHG,FALSE
doi:10.7910/DVN/BXXWWW,FALSE
doi:10.7910/DVN/BZ9Z2D,TRUE
doi:10.7910/DVN/BZA22S,FALSE
doi:10.7910/DVN/BZZ9VF,TRUE
doi:10.7910/DVN/C139OP,TRUE
doi:10.7910/DVN/C15VOD,TRUE
doi:10.7910/DVN/C1SICS,TRUE
doi:10.7910/DVN/C1SWYV,TRUE
doi:10.7910/DVN/C2IATB,FALSE
doi:10.7910/DVN/C2LWHA,TRUE
doi:10.7910/DVN/C6XJAT,FALSE
doi:10.7910/DVN/C7A5TN,TRUE
doi:10.7910/DVN/CAEEG7,TRUE
doi:10.7910/DVN/CCKENU,FALSE
doi:10.7910/DVN/CCV1NN,TRUE
doi:10.7910/DVN/CEJSVJ,TRUE
doi:10.7910/DVN/CF44OW,FALSE
doi:10.7910/DVN/CFASH6,TRUE
doi:10.7910/DVN/CFT901,FALSE
doi:10.7910/DVN/CFTMK2,TRUE
doi:10.7910/DVN/CGHTPZ,FALSE
doi:10.7910/DVN/CGINSA,TRUE
doi:10.7910/DVN/CGXPF5,TRUE
doi:10.7910/DVN/CJMKGX,TRUE
doi:10.7910/DVN/CKLJL3,FALSE
doi:10.7910/DVN/CKXW7L,TRUE
doi:10.7910/DVN/CL0RU2,TRUE
doi:10.7910/DVN/CLGI63,TRUE
doi:10.7910/DVN/CLMQ8E,TRUE
doi:10.7910/DVN/CLYDWU,TRUE
doi:10.7910/DVN/CMOWUL,TRUE
doi:10.7910/DVN/CMUHBU,FALSE
doi:10.7910/DVN/CMUYCM,FALSE
doi:10.7910/DVN/CNNXPB,FALSE
doi:10.7910/DVN/COFHJL,FALSE
doi:10.7910/DVN/COOVRP,TRUE
doi:10.7910/DVN/COS3BS,FALSE
doi:10.7910/DVN/CPVIOF,TRUE
doi:10.7910/DVN/CQ4FZR,TRUE
doi:10.7910/DVN/CQUVCV,TRUE
doi:10.7910/DVN/CQXHTH,TRUE
doi:10.7910/DVN/CRPAA8,FALSE
doi:10.7910/DVN/CSHNIS,FALSE
doi:10.7910/DVN/CSKA4Q,TRUE
doi:10.7910/DVN/CSNTTG,FALSE
doi:10.7910/DVN/CTGKEJ,TRUE
doi:10.7910/DVN/CTQKJA,TRUE
doi:10.7910/DVN/CTZNJV,TRUE
doi:10.7910/DVN/CUR5RR,TRUE
doi:10.7910/DVN/CUWUYR,FALSE
doi:10.7910/DVN/CV8I6N,FALSE
doi:10.7910/DVN/CV9AYE,FALSE
doi:10.7910/DVN/CVBXQX,FALSE
doi:10.7910/DVN/CWQYIB,FALSE
doi:10.7910/DVN/CXJBEK,FALSE
doi:10.7910/DVN/CYFIDH,TRUE
doi:10.7910/DVN/CZDGR2,TRUE
doi:10.7910/DVN/D0LEX4,TRUE
doi:10.7910/DVN/D3VZX3,TRUE
doi:10.7910/DVN/D4IDA9,FALSE
doi:10.7910/DVN/D5DEHM,FALSE
doi:10.7910/DVN/D5VRDE,TRUE
doi:10.7910/DVN/D6CH6C,TRUE
doi:10.7910/DVN/D73LV3,FALSE
doi:10.7910/DVN/D7ZXZI,TRUE
doi:10.7910/DVN/DAGL4S,FALSE
doi:10.7910/DVN/DAR56O,TRUE
doi:10.7910/DVN/DAYSCX,TRUE
doi:10.7910/DVN/DBMJQZ,FALSE
doi:10.7910/DVN/DBNBEU,TRUE
doi:10.7910/DVN/DCOT4D,TRUE
doi:10.7910/DVN/DCTPJI,FALSE
doi:10.7910/DVN/DEDZRZ,FALSE
doi:10.7910/DVN/DESLIU,FALSE
doi:10.7910/DVN/DEX6EW,FALSE
doi:10.7910/DVN/DF4DFH,FALSE
doi:10.7910/DVN/DFGQVW,FALSE
doi:10.7910/DVN/DG2J0F,TRUE
doi:10.7910/DVN/DG6BS4,FALSE
doi:10.7910/DVN/DGHX1E,FALSE
doi:10.7910/DVN/DGXXH9,TRUE
doi:10.7910/DVN/DHMCRC,TRUE
doi:10.7910/DVN/DIU0M1,TRUE
doi:10.7910/DVN/DJ2DPZ,TRUE
doi:10.7910/DVN/DJKH4H,TRUE
doi:10.7910/DVN/DJVNZF,FALSE
doi:10.7910/DVN/DKKP4I,FALSE
doi:10.7910/DVN/DKXD2X,FALSE
doi:10.7910/DVN/DL8SZL,TRUE
doi:10.7910/DVN/DMG0XD,FALSE
doi:10.7910/DVN/DMIDY8,TRUE
doi:10.7910/DVN/DMWWS5,TRUE
doi:10.7910/DVN/DNCHBF,TRUE
doi:10.7910/DVN/DNDSPS,FALSE
doi:10.7910/DVN/DO43V5,FALSE
doi:10.7910/DVN/DPVRA5,TRUE
doi:10.7910/DVN/DQ1WFB,TRUE
doi:10.7910/DVN/DQCFUN,FALSE
doi:10.7910/DVN/DQTIR4,TRUE
doi:10.7910/DVN/DR0YF2,FALSE
doi:10.7910/DVN/DSCREK,TRUE
doi:10.7910/DVN/DSDNX6,TRUE
doi:10.7910/DVN/DTFR60,FALSE
doi:10.7910/DVN/DUB0MU,FALSE
doi:10.7910/DVN/DUW1QY,TRUE
doi:10.7910/DVN/DVP0UW,TRUE
doi:10.7910/DVN/DVRNMH,TRUE
doi:10.7910/DVN/DWOBT4,TRUE
doi:10.7910/DVN/DX5T9G,FALSE
doi:10.7910/DVN/DXGVAW,FALSE
doi:10.7910/DVN/DYCUSZ,TRUE
doi:10.7910/DVN/DZ1NFG,FALSE
doi:10.7910/DVN/DZWOCK,TRUE
doi:10.7910/DVN/E2187A,FALSE
doi:10.7910/DVN/E2OS8R,TRUE
doi:10.7910/DVN/E3BAO5,FALSE
doi:10.7910/DVN/E3FDAV,FALSE
doi:10.7910/DVN/E40AFU,FALSE
doi:10.7910/DVN/E43MOQ,TRUE
doi:10.7910/DVN/E5ZSZR,FALSE
doi:10.7910/DVN/E7OQEY,TRUE
doi:10.7910/DVN/E852VT,TRUE
doi:10.7910/DVN/E9S0VN,FALSE
doi:10.7910/DVN/E9UQ0S,TRUE
doi:10.7910/DVN/EAHO3I,TRUE
doi:10.7910/DVN/EARLA4,TRUE
doi:10.7910/DVN/EAYHSN,FALSE
doi:10.7910/DVN/EBF7XW,TRUE
doi:10.7910/DVN/EBIHBT,TRUE
doi:10.7910/DVN/ECBF7Y,TRUE
doi:10.7910/DVN/ECIZHV,TRUE
doi:10.7910/DVN/ECPIYP,FALSE
doi:10.7910/DVN/ED5O5U,FALSE
doi:10.7910/DVN/EDGRDC,FALSE
doi:10.7910/DVN/EEMRS9,TRUE
doi:10.7910/DVN/EF7R0Z,TRUE
doi:10.7910/DVN/EGUVG0,TRUE
doi:10.7910/DVN/EGXUBU,TRUE
doi:10.7910/DVN/EHH9XT,TRUE
doi:10.7910/DVN/EHWM14,FALSE
doi:10.7910/DVN/EIINMP,TRUE
doi:10.7910/DVN/EKNEIH,TRUE
doi:10.7910/DVN/EKZQSZ,TRUE
