dataset_doi,n_pairs,n_vars,censored,year
doi:10.7910/DVN/361LGD,20,20,FALSE,2024
doi:10.7910/DVN/38BFML,14,9,FALSE,2019
doi:10.7910/DVN/3ADWK8,1,2,FALSE,2020
doi:10.7910/DVN/3AOBP2,5,6,FALSE,2022
doi:10.7910/DVN/3DK6JA,2,4,FALSE,2018
doi:10.7910/DVN/3DRQOB,10,8,FALSE,2021
doi:10.7910/DVN/3DVZYY,1,2,FALSE,2020
doi:10.7910/DVN/3FGLKN,2,3,FALSE,2024
doi:10.7910/DVN/3FNP7Q,4,5,FALSE,2024
doi:10.7910/DVN/3KOQWQ,1,2,FALSE,2018
doi:10.7910/DVN/3RWCPB,4,6,FALSE,2022
doi:10.7910/DVN/3TTQL2,2,3,FALSE,2018
doi:10.7910/DVN/4DUB7X,3,4,FALSE,2023
doi:10.7910/DVN/4EZPKF,7,8,FALSE,2022
doi:10.7910/DVN/4G2DBT,1,2,FALSE,2017
doi:10.7910/DVN/4M0HEN,35,30,TRUE,2020
doi:10.7910/DVN/4NEPI7,3,5,FALSE,2020
doi:10.7910/DVN/4QQHW7,42,28,FALSE,2024
doi:10.7910/DVN/4QRUPR,3,4,FALSE,2017
doi:10.7910/DVN/4T7Q6U,6,8,FALSE,2024
doi:10.7910/DVN/4UOQUR,17,22,TRUE,2023
doi:10.7910/DVN/4VCBQB,5,6,FALSE,2020
doi:10.7910/DVN/4VHZWW,7,8,FALSE,2021
doi:10.7910/DVN/4WNEE9,8,8,FALSE,2020
doi:10.7910/DVN/4XI0UG,6,7,FALSE,2017
doi:10.7910/DVN/57QESD,15,8,FALSE,2020
doi:10.7910/DVN/5AN3RU,8,8,FALSE,2017
doi:10.7910/DVN/5CNOTD,5,4,TRUE,2023
doi:10.7910/DVN/5CYWWF,1,2,FALSE,2019
doi:10.7910/DVN/5E3D0F,9,10,FALSE,2023
doi:10.7910/DVN/5GP5SI,12,12,TRUE,2023
doi:10.7910/DVN/5HEB4I,1,2,FALSE,2015
doi:10.7910/DVN/5JLGEL,1,2,FALSE,2018
doi:10.7910/DVN/5K89TG,14,16,FALSE,2023
doi:10.7910/DVN/5OUHOW,11,12,FALSE,2024
doi:10.7910/DVN/5PEQSS,9,10,FALSE,2022
doi:10.7910/DVN/5QBS9A,16,12,FALSE,2020
doi:10.7910/DVN/5S1HRF,1,2,FALSE,2020
doi:10.7910/DVN/5UMCKK,1,2,FALSE,2017
doi:10.7910/DVN/5XG84N,30,31,FALSE,2022
doi:10.7910/DVN/61JSZQ,11,12,FALSE,2017
doi:10.7910/DVN/64HPWB,4,6,FALSE,2022
doi:10.7910/DVN/6IO5ET,16,17,FALSE,2015
doi:10.7910/DVN/6IRAEM,6,7,FALSE,2021
doi:10.7910/DVN/6KPFOK,3,4,FALSE,2019
doi:10.7910/DVN/6OKNOY,2,3,FALSE,2023
doi:10.7910/DVN/6RL6ID,6,5,FALSE,2024
doi:10.7910/DVN/6SRI9K,1,2,FALSE,2020
doi:10.7910/DVN/6TFUSP,3,4,FALSE,2013
doi:10.7910/DVN/6VJ2WK,1,2,FALSE,2023
doi:10.7910/DVN/6YNZTE,2,3,FALSE,2019
doi:10.7910/DVN/70UDEG,1,2,FALSE,2023
doi:10.7910/DVN/7190MT,3,5,FALSE,2018
doi:10.7910/DVN/74QEO9,23,12,FALSE,2023
doi:10.7910/DVN/78JPNJ,5,5,FALSE,2018
doi:10.7910/DVN/79RI4R,1,2,FALSE,2020
doi:10.7910/DVN/7C5RYJ,2,3,FALSE,2023
doi:10.7910/DVN/7D48YB,2,3,FALSE,2015
doi:10.7910/DVN/7GPSCA,19,20,FALSE,2020
doi:10.7910/DVN/7JFVQI,4,5,FALSE,2022
doi:10.7910/DVN/7KSNCE,3,4,FALSE,2015
doi:10.7910/DVN/7NP2XH,6,6,FALSE,2020
doi:10.7910/DVN/7PZHF6,6,9,FALSE,2020
doi:10.7910/DVN/7Q9ZSR,10,11,FALSE,2017
doi:10.7910/DVN/7SYM1H,7,9,FALSE,2021
doi:10.7910/DVN/7UBRAC,14,13,FALSE,2018
doi:10.7910/DVN/7UOT14,13,10,FALSE,2023
doi:10.7910/DVN/7WUTWA,2,4,FALSE,2021
doi:10.7910/DVN/7ZVSYO,2,4,FALSE,2019
doi:10.7910/DVN/85RL5E,13,15,FALSE,2019
doi:10.7910/DVN/87TSER,11,14,FALSE,2024
doi:10.7910/DVN/88XL3K,2,3,FALSE,2023
doi:10.7910/DVN/8B31FG,2,4,FALSE,2020
doi:10.7910/DVN/8GNMUY,7,8,FALSE,2023
doi:10.7910/DVN/8HFVU8,102,25,TRUE,2019
doi:10.7910/DVN/8I6NOT,5,10,FALSE,2021
doi:10.7910/DVN/8JFNSN,8,6,FALSE,2021
doi:10.7910/DVN/8JW4Q7,7,8,FALSE,2018
doi:10.7910/DVN/8KNF3I,1,2,FALSE,2019
doi:10.7910/DVN/8L1SHV,28,13,FALSE,2020
doi:10.7910/DVN/8OKVHY,2,3,TRUE,2018
doi:10.7910/DVN/8PIIAI,1,2,FALSE,2019
doi:10.7910/DVN/8SIOKU,2,3,TRUE,2022
doi:10.7910/DVN/8VBGXO,12,12,FALSE,2020
doi:10.7910/DVN/8WZ793,1,2,FALSE,2020
doi:10.7910/DVN/8X77JA,7,6,FALSE,2024
doi:10.7910/DVN/8XPBSA,6,7,FALSE,2016
doi:10.7910/DVN/8YPPLM,2,4,FALSE,2018
doi:10.7910/DVN/8ZJBLI,5,7,FALSE,2018
doi:10.7910/DVN/8ZT2ID,3,4,FALSE,2020
doi:10.7910/DVN/8ZTQNM,1,2,FALSE,2020
doi:10.7910/DVN/93GVWI,5,4,FALSE,2020
doi:10.7910/DVN/96KNLB,2,3,FALSE,2013
doi:10.7910/DVN/96WYRS,3,4,FALSE,2015
doi:10.7910/DVN/9AMKHL,2,4,FALSE,2020
doi:10.7910/DVN/9AWUYJ,14,10,FALSE,2017
doi:10.7910/DVN/9ERCTY,10,7,FALSE,2020
doi:10.7910/DVN/9F0SMU,3,5,FALSE,2019
doi:10.7910/DVN/9FUPQQ,3,4,FALSE,2024
doi:10.7910/DVN/9GSJ6V,1,2,FALSE,2022
doi:10.7910/DVN/9JS5AJ,20,18,FALSE,2022
doi:10.7910/DVN/9JWDKK,22,17,FALSE,2024
doi:10.7910/DVN/9MQDK7,4,4,FALSE,2021
doi:10.7910/DVN/9OK6RH,35,22,FALSE,2020
doi:10.7910/DVN/9OOLQ7,15,17,FALSE,2015
doi:10.7910/DVN/9PXU5U,2,3,FALSE,2024
doi:10.7910/DVN/9QSQIW,8,9,FALSE,2021
doi:10.7910/DVN/9QUMY3,4,5,FALSE,2020
doi:10.7910/DVN/9U6QXP,2,3,FALSE,2016
doi:10.7910/DVN/9UXYCQ,6,8,FALSE,2024
doi:10.7910/DVN/9WNYEU,32,20,TRUE,2018
doi:10.7910/DVN/9ZZOTW,2,3,FALSE,2019
doi:10.7910/DVN/A11CD5,9,10,FALSE,2022
doi:10.7910/DVN/A2EIZC,1,2,FALSE,2016
doi:10.7910/DVN/A3M7PY,5,6,FALSE,2019
doi:10.7910/DVN/A81LPK,3,3,FALSE,2021
doi:10.7910/DVN/ACRFJM,11,11,FALSE,2023
doi:10.7910/DVN/ACYZIC,7,5,FALSE,2017
doi:10.7910/DVN/ADE2SJ,12,7,FALSE,2021
doi:10.7910/DVN/AEDRXN,8,9,FALSE,2023
doi:10.7910/DVN/AFYKUH,12,13,FALSE,2023
doi:10.7910/DVN/AGIMGY,15,11,TRUE,2019
doi:10.7910/DVN/AH2PEI,9,10,FALSE,2019
doi:10.7910/DVN/AHQRVR,4,5,FALSE,2022
doi:10.7910/DVN/AI3VM8,19,12,FALSE,2018
doi:10.7910/DVN/AIKUDN,3,4,FALSE,2022
doi:10.7910/DVN/AIRCBB,4,6,FALSE,2015
doi:10.7910/DVN/AJHFHU,9,10,FALSE,2018
doi:10.7910/DVN/AJLO8J,6,8,FALSE,2024
doi:10.7910/DVN/AJWTLI,5,6,FALSE,2024
doi:10.7910/DVN/AKGWBL,12,13,FALSE,2020
doi:10.7910/DVN/AL8I2B,8,8,FALSE,2024
doi:10.7910/DVN/AM3LJF,30,22,TRUE,2021
doi:10.7910/DVN/AMJXCB,2,3,FALSE,2018
doi:10.7910/DVN/AMMFVZ,2,3,FALSE,2018
doi:10.7910/DVN/AMMI3S,12,12,FALSE,2013
doi:10.7910/DVN/AMWWZE,21,17,FALSE,2024
doi:10.7910/DVN/AO7IYJ,2,4,FALSE,2023
doi:10.7910/DVN/AP0DHP,8,10,FALSE,2020
doi:10.7910/DVN/ASDLQX,14,9,FALSE,2024
doi:10.7910/DVN/AU1MVC,1,2,TRUE,2024
doi:10.7910/DVN/AWSQTW,7,6,FALSE,2021
doi:10.7910/DVN/AXVEXM,5,6,FALSE,2015
doi:10.7910/DVN/AYBXMJ,9,6,FALSE,2021
doi:10.7910/DVN/AYFAFF,11,8,FALSE,2021
doi:10.7910/DVN/AYSHR4,3,5,FALSE,2023
doi:10.7910/DVN/AZFHYN,8,9,FALSE,2019
doi:10.7910/DVN/AZTWDW,8,10,FALSE,2013
doi:10.7910/DVN/B1HHGV,4,5,FALSE,2019
doi:10.7910/DVN/B3UBXR,7,8,FALSE,2024
doi:10.7910/DVN/B6ZNAI,20,13,TRUE,2023
doi:10.7910/DVN/B8TWK2,28,16,FALSE,2020
doi:10.7910/DVN/B8Y17J,7,8,FALSE,2021
doi:10.7910/DVN/B9JAV0,3,6,FALSE,2020
doi:10.7910/DVN/B9SCDJ,1,2,FALSE,2018
doi:10.7910/DVN/B9U5BH,2,3,FALSE,2019
doi:10.7910/DVN/BAFF8Q,30,31,FALSE,2020
doi:10.7910/DVN/BC2HEO,6,5,FALSE,2020
doi:10.7910/DVN/BFEBHQ,5,6,FALSE,2020
doi:10.7910/DVN/BFRJDU,7,10,FALSE,2023
doi:10.7910/DVN/BGLGBZ,14,14,FALSE,2024
doi:10.7910/DVN/BGSCO4,11,12,FALSE,2024
doi:10.7910/DVN/BLXMCY,6,9,FALSE,2015
doi:10.7910/DVN/BOKBQQ,15,16,FALSE,2023
doi:10.7910/DVN/BOWEJG,17,17,FALSE,2020
doi:10.7910/DVN/BPON3K,2,3,FALSE,2017
doi:10.7910/DVN/BQGWYI,3,4,FALSE,2019
doi:10.7910/DVN/BS3DF7,3,4,FALSE,2024
doi:10.7910/DVN/BWZ3N0,2,3,FALSE,2024
doi:10.7910/DVN/BXIRYE,3,3,FALSE,2024
doi:10.7910/DVN/BZZ9VF,3,3,FALSE,2020
doi:10.7910/DVN/C139OP,9,9,FALSE,2021
doi:10.7910/DVN/C15VOD,27,22,FALSE,2018
doi:10.7910/DVN/C1SICS,15,13,TRUE,2018
doi:10.7910/DVN/C1SWYV,2,3,FALSE,2022
doi:10.7910/DVN/C2LWHA,18,19,FALSE,2018
doi:10.7910/DVN/C7A5TN,35,23,TRUE,2022
doi:10.7910/DVN/CAEEG7,15,16,FALSE,2016
doi:10.7910/DVN/CCV1NN,1,2,FALSE,2021
doi:10.7910/DVN/CEJSVJ,3,4,FALSE,2017
doi:10.7910/DVN/CFASH6,1,2,FALSE,2020
doi:10.7910/DVN/CFTMK2,1,2,FALSE,2019
doi:10.7910/DVN/CGINSA,2,3,FALSE,2019
doi:10.7910/DVN/CGXPF5,10,7,FALSE,2021
doi:10.7910/DVN/CJMKGX,2,3,FALSE,2015
doi:10.7910/DVN/CKXW7L,5,6,FALSE,2024
doi:10.7910/DVN/CL0RU2,21,8,FALSE,2020
doi:10.7910/DVN/CLGI63,1,2,FALSE,2024
doi:10.7910/DVN/CLMQ8E,3,4,FALSE,2017
doi:10.7910/DVN/CLYDWU,1,2,FALSE,2023
doi:10.7910/DVN/CMOWUL,7,8,FALSE,2020
doi:10.7910/DVN/COOVRP,12,13,FALSE,2019
doi:10.7910/DVN/CPVIOF,10,11,FALSE,2019
doi:10.7910/DVN/CQ4FZR,5,6,FALSE,2024
doi:10.7910/DVN/CQUVCV,26,25,TRUE,2019
doi:10.7910/DVN/CQXHTH,4,4,FALSE,2018
doi:10.7910/DVN/CSKA4Q,13,16,FALSE,2021
doi:10.7910/DVN/CTQKJA,2,3,FALSE,2012
doi:10.7910/DVN/CTZNJV,16,14,FALSE,2018
doi:10.7910/DVN/CUR5RR,1,2,FALSE,2024
doi:10.7910/DVN/CYFIDH,2,3,FALSE,2023
doi:10.7910/DVN/CZDGR2,4,7,FALSE,2022
doi:10.7910/DVN/D0LEX4,18,19,TRUE,2017
doi:10.7910/DVN/D3VZX3,1,2,FALSE,2023
doi:10.7910/DVN/D5VRDE,3,5,FALSE,2019
doi:10.7910/DVN/D6CH6C,2,3,FALSE,2023
doi:10.7910/DVN/D7ZXZI,12,13,FALSE,2019
doi:10.7910/DVN/DAR56O,4,4,FALSE,2018
doi:10.7910/DVN/DAYSCX,10,7,FALSE,2022
doi:10.7910/DVN/DBNBEU,1,2,FALSE,2020
doi:10.7910/DVN/DCOT4D,4,5,FALSE,2024
doi:10.7910/DVN/DG2J0F,8,11,FALSE,2021
doi:10.7910/DVN/DGXXH9,7,5,FALSE,2015
doi:10.7910/DVN/DHMCRC,1,2,FALSE,2023
doi:10.7910/DVN/DIU0M1,1,2,FALSE,2021
doi:10.7910/DVN/DJ2DPZ,3,4,FALSE,2016
doi:10.7910/DVN/DJKH4H,1,2,FALSE,2018
doi:10.7910/DVN/DL8SZL,6,7,FALSE,2021
doi:10.7910/DVN/DMIDY8,8,5,FALSE,2013
doi:10.7910/DVN/DMWWS5,34,17,TRUE,2019
doi:10.7910/DVN/DNCHBF,10,8,FALSE,2024
doi:10.7910/DVN/DPVRA5,1,2,FALSE,2013
doi:10.7910/DVN/DQ1WFB,1,2,FALSE,2022
doi:10.7910/DVN/DQTIR4,6,7,FALSE,2021
doi:10.7910/DVN/DSDNX6,11,10,FALSE,2016
doi:10.7910/DVN/DUW1QY,3,4,FALSE,2019
doi:10.7910/DVN/DVP0UW,3,4,FALSE,2013
doi:10.7910/DVN/DVRNMH,1,2,FALSE,2024
doi:10.7910/DVN/DWOBT4,1,2,FALSE,2019
doi:10.7910/DVN/DYCUSZ,61,36,FALSE,2021
doi:10.7910/DVN/DZWOCK,7,7,FALSE,2021
doi:10.7910/DVN/E2OS8R,6,5,FALSE,2018
doi:10.7910/DVN/E43MOQ,5,6,FALSE,2019
doi:10.7910/DVN/E7OQEY,4,5,FALSE,2018
doi:10.7910/DVN/E852VT,12,10,FALSE,2018
doi:10.7910/DVN/E9UQ0S,17,18,FALSE,2015
doi:10.7910/DVN/EAHO3I,3,4,FALSE,2023
doi:10.7910/DVN/EARLA4,5,5,FALSE,2022
doi:10.7910/DVN/EBF7XW,6,9,FALSE,2016
doi:10.7910/DVN/EBIHBT,7,9,FALSE,2021
doi:10.7910/DVN/ECBF7Y,2,3,FALSE,2018
doi:10.7910/DVN/ECIZHV,6,5,FALSE,2015
doi:10.7910/DVN/EEMRS9,16,8,FALSE,2018
doi:10.7910/DVN/EF7R0Z,21,11,FALSE,2021
doi:10.7910/DVN/EGUVG0,9,7,FALSE,2023
doi:10.7910/DVN/EGXUBU,9,11,FALSE,2022
doi:10.7910/DVN/EHH9XT,3,6,FALSE,2022
doi:10.7910/DVN/EIINMP,10,10,FALSE,2023
doi:10.7910/DVN/EKNEIH,4,4,FALSE,2017
doi:10.7910/DVN/EKZQSZ,20,20,FALSE,2019
doi:10.7910/DVN/ELG3DE,3,4,FALSE,2019
doi:10.7910/DVN/ELWP8V,7,8,FALSE,2017
doi:10.7910/DVN/EMAJMQ,22,26,FALSE,2024
doi:10.7910/DVN/EMIDOA,10,11,FALSE,2022
doi:10.7910/DVN/EORLRJ,2,3,FALSE,2023
doi:10.7910/DVN/EPDD6F,1,2,FALSE,2020
doi:10.7910/DVN/EPT8OF,10,13,FALSE,2024
doi:10.7910/DVN/EQQAT3,3,4,FALSE,2021
doi:10.7910/DVN/ER3D0H,1,2,FALSE,2015
doi:10.7910/DVN/ESR7YG,1,2,FALSE,2023
doi:10.7910/DVN/ESRIBE,8,15,FALSE,2022
doi:10.7910/DVN/EUISZU,4,6,FALSE,2021
doi:10.7910/DVN/EV5BGV,2,3,FALSE,2021
doi:10.7910/DVN/EVYI2H,9,10,FALSE,2017
doi:10.7910/DVN/EW2GV5,6,7,FALSE,2024
doi:10.7910/DVN/EWRXPU,9,8,FALSE,2018
doi:10.7910/DVN/EWW2GX,24,25,FALSE,2015
doi:10.7910/DVN/EXKA90,20,21,FALSE,2024
doi:10.7910/DVN/EY2I6M,3,4,FALSE,2017
doi:10.7910/DVN/EYAWES,23,15,FALSE,2021
doi:10.7910/DVN/EZ8XCG,19,12,FALSE,2024
doi:10.7910/DVN/EZNXW1,5,6,FALSE,2021
doi:10.7910/DVN/F1VLBI,6,5,FALSE,2017
doi:10.7910/DVN/F2JF6G,19,11,FALSE,2018
doi:10.7910/DVN/F2LQWC,1,2,FALSE,2023
doi:10.7910/DVN/F2RDCJ,32,33,FALSE,2023
doi:10.7910/DVN/F3K3MA,70,55,TRUE,2024
doi:10.7910/DVN/F6LJP8,3,5,FALSE,2015
doi:10.7910/DVN/F6UCQT,5,6,FALSE,2023
doi:10.7910/DVN/F8JXHR,6,9,TRUE,2021
doi:10.7910/DVN/F8SRTA,18,14,FALSE,2023
doi:10.7910/DVN/F9L41L,36,25,TRUE,2021
doi:10.7910/DVN/FA8FVF,7,7,FALSE,2021
doi:10.7910/DVN/FAA9EA,2,3,FALSE,2022
doi:10.7910/DVN/FCZDKD,17,18,FALSE,2020
doi:10.7910/DVN/FDML2N,8,10,FALSE,2020
doi:10.7910/DVN/FDW6CU,11,12,FALSE,2024
doi:10.7910/DVN/FERDAN,4,4,FALSE,2013
doi:10.7910/DVN/FHOJ3L,1,2,FALSE,2013
doi:10.7910/DVN/FIKXKD,1,2,FALSE,2016
doi:10.7910/DVN/FIL6J1,3,4,FALSE,2019
doi:10.7910/DVN/FITPUI,2,3,FALSE,2020
doi:10.7910/DVN/FLDXM9,12,9,FALSE,2024
doi:10.7910/DVN/FLV8GQ,5,6,FALSE,2021
doi:10.7910/DVN/FMX62W,6,9,FALSE,2019
doi:10.7910/DVN/FO6OXL,4,5,FALSE,2023
doi:10.7910/DVN/FPYKTP,20,25,FALSE,2019
doi:10.7910/DVN/FS90RJ,31,16,FALSE,2016
doi:10.7910/DVN/FSOVA7,11,12,FALSE,2021
doi:10.7910/DVN/FTFJTV,4,5,TRUE,2019
doi:10.7910/DVN/FUAARK,3,4,FALSE,2023
doi:10.7910/DVN/FUCDTT,15,11,TRUE,2021
doi:10.7910/DVN/FUFDYH,2,3,FALSE,2022
doi:10.7910/DVN/FUSIWA,3,4,FALSE,2021
doi:10.7910/DVN/FUSY37,8,9,FALSE,2024
doi:10.7910/DVN/FVCGN8,9,11,FALSE,2024
doi:10.7910/DVN/FVRZYU,2,3,FALSE,2022
doi:10.7910/DVN/FW87Y1,3,4,FALSE,2024
doi:10.7910/DVN/FXRIOS,5,6,FALSE,2015
doi:10.7910/DVN/FXVIUR,2,4,TRUE,2023
doi:10.7910/DVN/FYVP3W,2,4,FALSE,2023
doi:10.7910/DVN/FZI6NO,30,16,TRUE,2016
doi:10.7910/DVN/G1BZ23,8,6,FALSE,2022
doi:10.7910/DVN/G4XAGY,7,7,FALSE,2018
doi:10.7910/DVN/G7J6QJ,1,2,FALSE,2022
doi:10.7910/DVN/G9OKGB,31,10,TRUE,2023
doi:10.7910/DVN/GB5BFN,1,2,FALSE,2017
doi:10.7910/DVN/GCDJ25,16,9,FALSE,2021
doi:10.7910/DVN/GDZTK8,15,17,FALSE,2018
doi:10.7910/DVN/GHHZO4,6,5,FALSE,2021
doi:10.7910/DVN/GHJ8JL,29,25,TRUE,2022
doi:10.7910/DVN/GHRHU7,16,18,FALSE,2021
doi:10.7910/DVN/GHZFJM,5,6,FALSE,2022
doi:10.7910/DVN/GIWOOO,4,5,FALSE,2024
doi:10.7910/DVN/GJIRV0,6,5,FALSE,2018
doi:10.7910/DVN/GK3TMY,1,2,FALSE,2024
doi:10.7910/DVN/GKWF0N,3,3,FALSE,2015
doi:10.7910/DVN/GL2WN8,5,6,FALSE,2020
doi:10.7910/DVN/GM1VRQ,2,4,FALSE,2023
doi:10.7910/DVN/GMFAUC,4,5,FALSE,2022
doi:10.7910/DVN/GMWOY6,10,12,FALSE,2016
doi:10.7910/DVN/GMZM4D,14,15,FALSE,2012
doi:10.7910/DVN/GODCXP,1,2,FALSE,2024
doi:10.7910/DVN/GOLMTC,16,8,FALSE,2016
doi:10.7910/DVN/GPRVC6,6,5,TRUE,2018
doi:10.7910/DVN/GQ01SY,32,19,FALSE,2024
doi:10.7910/DVN/GQOYSS,3,6,FALSE,2022
doi:10.7910/DVN/GRHQ3W,1,2,FALSE,2024
doi:10.7910/DVN/GS8IFM,12,15,FALSE,2018
doi:10.7910/DVN/GT15SC,11,7,FALSE,2023
doi:10.7910/DVN/GT8NDD,11,12,FALSE,2021
doi:10.7910/DVN/GTEBJA,19,19,FALSE,2024
doi:10.7910/DVN/GTSYTZ,7,8,FALSE,2022
doi:10.7910/DVN/GXWHFG,1,2,FALSE,2023
doi:10.7910/DVN/GXXUHV,9,10,FALSE,2023
doi:10.7910/DVN/GYX7GC,16,13,FALSE,2023
doi:10.7910/DVN/H1CCWM,3,6,FALSE,2019
doi:10.7910/DVN/H2JL7A,1,2,FALSE,2023
doi:10.7910/DVN/H2JWXV,6,6,FALSE,2023
doi:10.7910/DVN/H6CUHY,13,11,FALSE,2013
doi:10.7910/DVN/H7NFJZ,15,16,FALSE,2024
doi:10.7910/DVN/H8HM6P,12,10,FALSE,2021
doi:10.7910/DVN/H90IVD,6,7,FALSE,2022
doi:10.7910/DVN/HAKD7W,2,3,FALSE,2021
doi:10.7910/DVN/HBSARA,12,16,FALSE,2024
doi:10.7910/DVN/HDDPTB,1,2,FALSE,2020
doi:10.7910/DVN/HDGUDZ,9,11,FALSE,2020
doi:10.7910/DVN/HDOEPP,16,17,FALSE,2024
doi:10.7910/DVN/HFVIYA,3,4,FALSE,2021
doi:10.7910/DVN/HGD6CG,1,2,FALSE,2021
doi:10.7910/DVN/HI1CUP,9,10,FALSE,2019
doi:10.7910/DVN/HI1X4O,13,10,FALSE,2018
doi:10.7910/DVN/HJSQNL,30,15,TRUE,2019
doi:10.7910/DVN/HJYBA5,3,4,FALSE,2023
doi:10.7910/DVN/HMI4WY,8,11,FALSE,2019
doi:10.7910/DVN/HNH7BX,25,12,FALSE,2022
doi:10.7910/DVN/HNVBZG,7,6,FALSE,2022
doi:10.7910/DVN/HOLUME,4,5,FALSE,2020
doi:10.7910/DVN/HOMED8,1,2,FALSE,2023
doi:10.7910/DVN/HPB1CA,3,4,FALSE,2015
doi:10.7910/DVN/HPZWJR,4,6,TRUE,2020
doi:10.7910/DVN/HQKQCQ,11,16,FALSE,2015
doi:10.7910/DVN/HQQJUK,11,12,FALSE,2024
